IE_XML_ID;Цвет;дет_описание;пол;тг;блок;сезонность;Группировка по колодке (сайт);Наименование маркетинг;Материал верха (маркетинг);Материал верха фильтр;Группировка по моделям (сайт) ;Материал подкладки (маркетинг);Материал подкладки фильтр;Цвет (маркетинг)
500123850;серый;;Женский;Босоножки;Обувь;Лето;221146;Женские летние босоножки;натуральная кожа;натуральная кожа;98108;натуральная кожа;натуральная кожа;серый / белый
500123451;бежевый;;Женский;Босоножки;Обувь;Лето;221146;Бежевые женские босоножки;замша;замша;98109;натуральная кожа;натуральная кожа;бежевый
500123851;зеленый;;Женский;Босоножки;Обувь;Лето;221146;Зеленые женские босоножки;замша;замша;98109;натуральная кожа;натуральная кожа;зеленый
500123456;бежевый;;Женский;Туфли;Обувь;Всесезонная;221147;Бежевые туфли замша;замша;замша;98110;натуральная кожа;натуральная кожа;бежевый
500123457;красный;;Женский;Туфли;Обувь;Всесезонная;221147;Красные женские туфли;замша;замша;98110;натуральная кожа;натуральная кожа;красный
500123458;черный;;Женский;Туфли;Обувь;Всесезонная;221147;Черные женские туфли;замша;замша;98110;натуральная кожа;натуральная кожа;черный
500123461;голубой;;Женский;Туфли;Обувь;Всесезонная;221147;Голубые женские туфли;замша;замша;98111;натуральная кожа;натуральная кожа;голубой
500123462;черный;;Женский;Туфли;Обувь;Всесезонная;221147;Кожаные женские туфли;натуральная кожа;натуральная кожа;98111;натуральная кожа;натуральная кожа;черный
500123466;розовый;;Женский;Босоножки;Обувь;Лето;221148;Розовые женские босоножки;натуральная кожа;натуральная кожа;98112;натуральная кожа;натуральная кожа;розовый
500123467;белый;;Женский;Босоножки;Обувь;Лето;221148;Белые женские босоножки;натуральная кожа;натуральная кожа;98112;натуральная кожа;натуральная кожа;белый
500123468;черный;;Женский;Босоножки;Обувь;Лето;221148;Босоножки на каблуке;натуральная кожа;натуральная кожа;98113;натуральная кожа;натуральная кожа;черный
500123469;коричневый;;Женский;Босоножки;Обувь;Лето;221148;Рыжые женские босоножки;натуральная кожа;натуральная кожа;98113;натуральная кожа;натуральная кожа;рыжий
500123852;розовый;;Женский;Босоножки;Обувь;Лето;221148;Розовые женские босоножки;натуральная кожа;натуральная кожа;98113;натуральная кожа;натуральная кожа;розовый
500123470;серый;;Женский;Босоножки;Обувь;Лето;221148;Женские босоножки на каблуке;натуральная кожа;натуральная кожа;98114;натуральная кожа;натуральная кожа;серый / белый
500123476;серый;;Женский;Сабо;Обувь;Лето;221150;Женские сабо из кожи;натуральная кожа;натуральная кожа;98115;натуральная кожа;натуральная кожа;серый / белый
