IE_XML_ID;сезонность;Группировка по колодке (сайт);Наименование маркетинг;Материал верха (маркетинг);Материал верха фильтр;Группировка по моделям (сайт) ;Материал подкладки (маркетинг);Материал подкладки фильтр;Цвет (маркетинг);Цвет (фильтр)
500123906;Всесезонная;221204;Черные мужские туфли;натуральная кожа;натуральная кожа;98187;натуральная кожа;натуральная кожа;черный;черный
500122960;Всесезонная;221205;Серые мужские туфли;замша;замша;98188;натуральная кожа;натуральная кожа;серый;серый
500123908;Всесезонная;221205;Замшевые мужские туфли;замша;замша;98188;натуральная кожа;натуральная кожа;синий;синий
500122961;Всесезонная;221205;Синие мужские полуботинки;натуральная кожа;натуральная кожа;98189;натуральная кожа;натуральная кожа;синий;синий
500123907;Всесезонная;221205;Черные мужские полуботинки;натуральная кожа;натуральная кожа;98189;натуральная кожа;натуральная кожа;черный;черный
500122963;Всесезонная;221205;Черные мужские полуботинки;натуральная кожа;натуральная кожа;98190;натуральная кожа;натуральная кожа;черный;черный
500122964;Всесезонная;221206;Черные мужские туфли;натуральная кожа;натуральная кожа;98191;натуральная кожа;натуральная кожа;черный;черный
500122966;Всесезонная;221206;Черные мужские туфли;натуральная кожа;натуральная кожа;98192;натуральная кожа;натуральная кожа;черный;черный
500122967;Всесезонная;221207;Рыжые мужские полуботинки;замша;замша;98193;натуральная кожа;натуральная кожа;рыжий;коричневый
500122968;Всесезонная;221207;Синие мужские полуботинки;замша;замша;98193;натуральная кожа;натуральная кожа;синий;синий
500122969;Всесезонная;221207;Мужские полуботинки из замши;замша;замша;98193;натуральная кожа;натуральная кожа;темно-серый;серый
500122983;Всесезонная;221213;Черные мужские туфли;натуральная кожа;натуральная кожа;98194;натуральная кожа;натуральная кожа;черный;черный
500122984;Всесезонная;221213;Синие мужские полуботинки;натуральная кожа;натуральная кожа;98194;натуральная кожа;натуральная кожа;синий;синий
500122985;Всесезонная;221213;Черные мужские полуботинки;натуральная кожа;натуральная кожа;98194;натуральная кожа;натуральная кожа;черный;черный
500122986;Всесезонная;221213;Черные мужские туфли;натуральная кожа;натуральная кожа;98195;натуральная кожа;натуральная кожа;черный;черный
500122987;Всесезонная;221213;Синие мужские полуботинки;натуральная кожа;натуральная кожа;98196;натуральная кожа;натуральная кожа;синий;синий
500123909;Лето;221215;Черные мужские туфли;натуральная кожа;натуральная кожа;98197;натуральная кожа;натуральная кожа;черный;черный
500123926;Всесезонная;221218;Черные мужские полуботинки;натуральная кожа;натуральная кожа;98198;натуральная кожа;натуральная кожа;черный;черный
500123927;Всесезонная;221218;Синие мужские полуботинки;замша;замша;98199;натуральная кожа;натуральная кожа;синий;синий
500123928;Всесезонная;221218;Коричневые мужские полуботинки;замша;замша;98199;натуральная кожа;натуральная кожа;коричневый;коричневый
500123929;Всесезонная;221219;Черные мужские полуботинки;натуральная кожа;натуральная кожа;98200;натуральная кожа;натуральная кожа;черный;черный
500123930;Всесезонная;221219;Синие мужские туфли;натуральная кожа;натуральная кожа;98200;натуральная кожа;натуральная кожа;синий;синий
500123911;Всесезонная;221222;Коричневые мужские туфли;натуральная кожа;натуральная кожа;98201;натуральная кожа;натуральная кожа;коричневый;коричневый
500123912;Всесезонная;221222;Черные мужские полуботинки;натуральная кожа;натуральная кожа;98201;натуральная кожа;натуральная кожа;черный;черный
